MARKET,Energy Consumption - * AEMO Commodity Charge
NETWORK_LINE_ITEMS,Energy Consumption - * Longford Transmission Delivery Tariff
DEMANDS,Energy Consumption - * Longford Peak Inject Charges
DEMANDS,Network Usage - * Use of Distribution System
ENERGY_SERVICE,Network Usage - * Operations and Maintenance
ENERGY_LINE_ITEMS,Energy charges - * Business Balance Plan 24 Peak Consumption - Block 1 (50.00000 MJ/day)^
ENERGY_LINE_ITEMS,Energy charges - * Business Balance Plan 24 Peak Consumption - Block 2 (161.50689 MJ/day)^
ENERGY_SERVICE,Energy charges - * Business Balance Plan 24 Supply Charge
DISCOUNTS,Discounts - * Additional Business Balance Plan 24 Discount 40%
ENERGY_LINE_ITEMS,Energy Charges - * Basic Saver - Business Peak Consumption ( 70.00000 kWh/day)^
ENERGY_SERVICE,Energy Charges - * Basic Saver Business Supply Charge
DISCOUNTS,Energy Charges - * Basic Saver Business Discount on Usage 3%
MARKET,Market Charges - FRC Operations
MARKET,Market Charges - Ancillary Services 31-May-31-May
MARKET,Market Charges - Ancillary Services 01-Jun-30-Jun
NETWORK_LINE_ITEMS,Network Charges (LLVT1) - Off Peak Energy
NETWORK_LINE_ITEMS,Network Charges (LLVT1) - Peak Energy
DEMANDS,Network Charges (LLVT1) - Demand 31-May-31-May
DEMANDS,Network Charges (LLVT1) - Demand 01-Jun-30-Jun
CERTIFICATES,Environmental Charges - NSW Energy Saving Scheme
NETWORK_SERVICE,Environmental Charges - Network Access Charge
NETWORK_LINE_ITEMS,Environmental Charges - Peak Energy (DST)
NETWORK_LINE_ITEMS,Environmental Charges - Shoulder Energy (DST)
NETWORK_LINE_ITEMS,Environmental Charges - Off Peak Energy (DST)
CAPACITIES,Environmental Charges - Peak Capacity
ENERGY_LINE_ITEMS,Flexi Saver Business - * Flexi Saver - Business Peak Consumption (11.64835 kWh/day)^
ENERGY_SERVICE,Flexi Saver Business - * Flexi Saver - Business Supply Charge
ENERGY_SERVICE,Electricity Charges - Service
ENERGY_SOLAR,Electricity Charges - Solar Export
OTHER_CHARGES,Electricity Charges - Reversal of Cancelled Bill 313628193889
OTHER_CHARGES,Electricity Charges - Reversal of Cancelled Bill 313012434470
METERING,Electricity Charges - Meter Services Charge
ENERGY_LINE_ITEMS,All Usage
OTHER_CHARGES,Other Charges - POA Relocation Charge
OTHER_CHARGES,Other Charges & Credits - Reversal of Previous Bill 30/09/22 to 31/10/22
OTHER_CHARGES,Other Charges & Credits - Reversal of Previous Bill 12/10/22 to 19/10/22
OTHER_CHARGES,Other Charges & Credits - Reversal of Previous Bill 19/10/22 to 31/10/22
OTHER_CHARGES,Other Charges & Credits - Reversal of Previous Bill 30/09/22 to 12/10/22
OTHER_CHARGES,Other Charges & Credits - De-Energisation Unmetered Supply
ENERGY_LINE_ITEMS,Payment Due Details - CMUX
ENERGY_LINE_ITEMS,Payment Due Details - CMUX+TH
ENERGY_LINE_ITEMS,Payment Due Details - MAINTENANCE POWER OUTLET
ENERGY_LINE_ITEMS,Payment Due Details - REMOTE CUST MULTIPLEXER
ENERGY_LINE_ITEMS,Payment Due Details - RIM Plus
ENERGY_LINE_ITEMS,Payment Due Details - SCAD COMMUNICATION EQUIP
ENERGY_LINE_ITEMS,Payment Due Details - TELE CABINET LIGHT
ENERGY_LINE_ITEMS,06 PREMDSL
ENERGY_SERVICE,New Charges - Rim Cab 480
ENERGY_OTHER,New Charges - 20W Fluore
ENERGY_LINE_ITEMS,Charges - Peak Usage
ENERGY_LINE_ITEMS,Charges - Off-Peak Usage
ENERGY_LINE_ITEMS,Charges - Shoulder Usage
ENERGY_SERVICE,Charges - Supply Charge
GREEN,GreenPower Charges - 6% GreenPower
METERING,Charges - DMA Bundled Metering Charges
ENERGY_LINE_ITEMS,Your new charges - Peak Usage
ENERGY_LINE_ITEMS,Your new charges - Off-Peak Usage
ENERGY_SERVICE,Your new charges - Supply Charge
ENERGY_LINE_ITEMS,General Usage
ENERGY_SERVICE,Daily Supply
ENERGY_LINE_ITEMS,New charges and adjustments - Off-peak
ENERGY_LINE_ITEMS,New charges and adjustments - Peak
ENERGY_SERVICE,New charges and adjustments - Daily Supply
ENERGY_SOLAR,New charges and adjustments - Feed-in Credit
DEMANDS,Demand and Capacity - Demand Charge
NETWORK_LINE_ITEMS,Demand and Capacity - Peak
NETWORK_LINE_ITEMS,Demand and Capacity - Off Peak
MARKET,Regulated Charges - AEMO Ancillary Charge
METERING,Metering and Service Charges - Metering Charge
METERING,Metering and Service Charges - Value Added Service Charge
METERING,Metering and Service Charges - Supplementary Metering Charge
ENERGY_LINE_ITEMS,All Consumption - First 0-2959
ENERGY_LINE_ITEMS,All Consumption - Next 2960-21205
ENERGY_LINE_ITEMS,All Consumption - Balance 21206+
ENERGY_SERVICE,All Consumption - Service to Property
ENERGY_LINE_ITEMS,All Consumption - First 0-9074
ENERGY_LINE_ITEMS,All Consumption - Balance 65031+
DISCOUNTS,Less Discounts & Rebates - Base Usage Discount (12%)
EXTRA_CHARGES,Other Charges & Adjustments - Move Out Fee
ENERGY_LINE_ITEMS,Other Charges & Adjustments - First 0-24658
ENERGY_LINE_ITEMS,Other Charges & Adjustments - Next 24659-135616
ENERGY_LINE_ITEMS,Other Charges & Adjustments - Balance 135617+
ENERGY_LINE_ITEMS,Other Charges & Adjustments - First 0-70685
ENERGY_LINE_ITEMS,Other Charges & Adjustments - Next 70686-388767
ENERGY_LINE_ITEMS,Other Charges & Adjustments - Balance 388768+
ENERGY_SERVICE,Other Charges & Adjustments - Supply Charge
DISCOUNTS,Discounts and Rebates - Guaranteed usage discount (12%)
DISCOUNTS,Discounts and Rebates - Guaranteed usage discount (20%)
ENERGY_LINE_ITEMS,Charges - First 0-22000
DISCOUNTS,Discounts and Rebates - Guaranteed usage discount (28%)
ENERGY_LINE_ITEMS,Charges - First 0-62000
EXTRA_CHARGES,Cylinder Storage Correction
ENERGY_LINE_ITEMS,LPG Propane LT
ENERGY_LINE_ITEMS,Energy Charges - First
ENERGY_LINE_ITEMS,Energy Charges - Next
ENERGY_LINE_ITEMS,Energy Charges - Balance
ENERGY_SERVICE,Additional Charges - Supply Charge
CERTIFICATES,Environmental Charges - REPS Charge
ENERGY_LINE_ITEMS,New charges and adjustments - First 0-890
ENERGY_LINE_ITEMS,New charges and adjustments - Next 890-118043
ENERGY_LINE_ITEMS,New charges and adjustments - Remaining
ENERGY_LINE_ITEMS,New charges and adjustments - First 0-82
ENERGY_LINE_ITEMS,New charges and adjustments - Next 82-10980
ENERGY_LINE_ITEMS,New charges and adjustments - First 0-20
ENERGY_LINE_ITEMS,New charges and adjustments - Next 20-2745
ENERGY_LINE_ITEMS,Next 4200 - 147000
ENERGY_LINE_ITEMS,Energy Charges - Origin Go Zero Gas
OTHER_CHARGES,Additional Charges and Credits - Interest Charges **
ENERGY_LINE_ITEMS,Your new charges - Hot Water Usage
NETWORK_SERVICE,Network - Access Charge
CERTIFICATES,Other - SREC Adjustment Jan 17 - Feb 17
CERTIFICATES,Other - SREC Charge
MARKET,Other - AEMO Charge
MARKET,Other - AEMO Ancillary
DEMANDS,Demand and Capacity - TUOS Network Demand Charge
DEMANDS,Demand and Capacity - DUOS Network Demand Charge
NETWORK_SERVICE,Demand and Capacity - DUOS Network Access Charge
NETWORK_SERVICE,Demand and Capacity - TUOS Network Access Charge
NETWORK_LINE_ITEMS,Demand and Capacity - TUOS Network Volume Charge
NETWORK_LINE_ITEMS,Demand and Capacity - DUOS - Network Volume Charge
OTHER_CHARGES,Retail Service Charges - Concession Charge
DISCOUNTS,Discount (2%)
ENERGY_OTHER,Electrical for motor / prop testing room
ENERGY_OTHER,USB iPhone stand
ENERGY_OTHER,Mesh Task Chair
ENERGY_OTHER,Epson LCD Business Projector
EXTRA_CHARGES,Distribution Network Service Provider - Network Charge Reconciliation July 24 to September 24
NETWORK_LINE_ITEMS,Network Charges - BLND3AO Peak
NETWORK_LINE_ITEMS,Network Charges - BLND3AO Shoulder
NETWORK_LINE_ITEMS,Network Charges - BLND3AO Off Peak
DEMANDS,Network Charges - BLND3AO Demand Peak
DEMANDS,Network Charges - BLND3AO Demand Off Peak
DEMANDS,Network Charges - BLND3AO Demand Shoulder
NETWORK_SERVICE,Network Charges - BLND3AO Supply Charge
MARKET,Market Operator Charges - AEMO Ancillary Fee
EXTRA_CHARGES,Metering Charges - Adjustment to previous period 01 Jan 2022 to 31 Jan 2022
EXTRA_CHARGES,Metering Charges - Late Payment Interest Charge
NETWORK_LINE_ITEMS,Network Charges - CMGB Peak Usage
NETWORK_LINE_ITEMS,Network Charges - CMGB Off Peak Usage
DEMANDS,Network Charges - CMGB Peak Demand
NETWORK_SERVICE,Network Charges - CMGB Supply Charge
ENERGY_OTHER,UMS Telemetry Station
ENERGY_SERVICE,Service to Property
METERING,DMA Bundled Metering Charges
ENERGY_LINE_ITEMS,Peak Usage
ENERGY_LINE_ITEMS,Off-Peak Usage
ENERGY_LINE_ITEMS,Off Peak Usage
DISCOUNTS,22% Guaranteed discount
DISCOUNTS,34% Guaranteed discount
DEMANDS,Demand Charge
DEMANDS,Demand
NETWORK_LINE_ITEMS,DUOS - Network Volume Charge
NETWORK_SERVICE,DUOS Network Access Charge
DEMANDS,DUOS Network Demand Charge
ENERGY_LINE_ITEMS,OffPeak
ENERGY_LINE_ITEMS,Off-Peak
NETWORK_SERVICE,TUOS Network Access Charge
DEMANDS,TUOS Network Demand Charge
NETWORK_LINE_ITEMS,TUOS Network Volume Charge
DISCOUNTS,*Additional Business Balance Plan 24 Discount 40%
DISCOUNTS,Guaranteed usage discount (12%)
DISCOUNTS,Guaranteed usage discount (20%)
DISCOUNTS,Guaranteed usage discount (28%)
ENERGY_SERVICE,Base Charge
ENERGY_LINE_ITEMS,First
ENERGY_LINE_ITEMS,Next
ENERGY_LINE_ITEMS,First 10GJ MHQ
NETWORK_SERVICE,Operation & Maintenance Charge
EXTRA_CHARGES,Network Charge Reconciliation July 24 to September 24
ENERGY_LINE_ITEMS,All Consumption
METERING,Meter Services Charge
OTHER_CHARGES,Reversal of Cancelled Bill 313012434470
OTHER_CHARGES,Reversal of Cancelled Bill 313628193889
ENERGY_SERVICE,Service
ENERGY_SOLAR,Solar Export
DISCOUNTS,* Additional Business Balance Plan 12 Discount 35%
ENERGY_LINE_ITEMS,* Basic Saver - Business Peak Consumption ( 70.00000 kWh/day)^
DISCOUNTS,* Basic Saver Business Discount on Usage 3%
ENERGY_SERVICE,* Basic Saver Business Supply Charge
ENERGY_LINE_ITEMS,* Business Balance Plan 12 Peak Consumption - Block 1 ( 8.73859 MJ/day)^
ENERGY_SERVICE,* Business Balance Plan 12 Supply Charge
ENERGY_LINE_ITEMS,* Business Balance Plan 24 Peak Consumption - Block 1 (50.00000 MJ/day)^
ENERGY_LINE_ITEMS,* Business Balance Plan 24 Peak Consumption - Block 2 (161.50689 MJ/day)^
ENERGY_SERVICE,* Business Balance Plan 24 Supply Charge
ENERGY_SERVICE,* Everyday Saver - Business Supply Charge
DISCOUNTS,* Everyday Saver Business Discount 39%
DISCOUNTS,* Everyday Saver Business Discount on Usage 10%
ENERGY_LINE_ITEMS,* Everyday Saver Business Peak Consumption - Block 1 ( 96.21689 MJ/day)^
ENERGY_LINE_ITEMS,* Everyday Saver Business Peak Consumption Block 1 ( 27.39730 kWh/day) ^
ENERGY_LINE_ITEMS,* Everyday Saver Business Peak Consumption Block 2 ( 300.78635 kWh/day)^
ENERGY_SERVICE,* Everyday Saver Business Supply Charge
ENERGY_LINE_ITEMS,Energy
ENERGY_LINE_ITEMS,Energy Charge
ENERGY_SERVICE,Monthly Fixed Charge
ENERGY_LINE_ITEMS,Origin Go Zero Gas
ENERGY_LINE_ITEMS,Shoulder Energy
ENERGY_OTHER,Unaccounted for Energy
MARKET,* AEMO Commodity Charge
ENERGY_LINE_ITEMS,* Gas Commodity Charge
DEMANDS,* Longford Peak Inject Charges
NETWORK_LINE_ITEMS,* Longford Transmission Delivery Tariff
METERING,* Meter Data Handling Fee
CERTIFICATES,LREC Charge
CERTIFICATES,LRET Charge
CERTIFICATES,NSW Energy Saving Scheme
ENERGY_LINE_ITEMS,Off Peak Energy (DST)
CAPACITIES,Peak Capacity
ENERGY_LINE_ITEMS,Peak Energy (DST)
CERTIFICATES,REPS Charge
CAPACITIES,SA REPS Charge
CERTIFICATES,SREC Charge
CERTIFICATES,SRES Charge
CERTIFICATES,VEEC Charge
CERTIFICATES,VEET
CERTIFICATES,VEET Charge
CERTIFICATES,NESC
GREEN,6% GreenPower
DISCOUNTS,Base Usage Discount (12%)
MARKET,AEMO Distribution Meter
MARKET,AEMO Market Fees
MARKET,AEMO VIC DWGM Energy
MARKET,Ancillary Services
MARKET,Ancillary Services 01-Jun-30-Jun
MARKET,Ancillary Services 31-May-31-May
MARKET,FRC & Participant Charge Fixed
MARKET,FRC Operations
MARKET,Participant Charge
MARKET,Participant Charge Variable
MARKET,AEMO Ancillary Fee
METERING,Meter Charge
ENERGY_SERVICE,Retail Supply Charge
METERING,Supplementary Metering Charge
CAPACITIES,Rolling Capacity
DEMANDS,Summer Incentive Demand
ENERGY_OTHER,STCs owing to EA (H2-2018)
ENERGY_OTHER,General Excess Debit Adjustment
ENERGY_OTHER,Aggregate Gas Overrun
ENERGY_OTHER,Adjustment
ENERGY_OTHER,Minimum charge
ENERGY_OTHER,Watchman light charge
ENERGY_OTHER,Generation Contribution
ENERGY_OTHER,PureEnergy
ENERGY_OTHER,SH Na
ENERGY_OTHER,SPL Fling MH
ENERGY_OTHER,Overrun
ENERGY_OTHER,Origin Go Zero
ENERGY_OTHER,UMS Flow Monitor
ENERGY_OTHER,UMS Cathodic Protection
ENERGY_OTHER,UMS Miscellaneous Charge 01
ENERGY_OTHER,Flow Monitor charge
ENERGY_OTHER,Unmetered-WL Sodium
ENERGY_OTHER,Unmetered WL - Mercury
ENERGY_OTHER,NBN Cabinet
ENERGY_OTHER,UMS Miscellaneous Charge 02
ENERGY_OTHER,Telemetry Stn
ENERGY_OTHER,Noise Monitoring Stn
ENERGY_OTHER,Sprinkler Systemcharge
ENERGY_OTHER,Traf Ctl SigNal
ENERGY_OTHER,UMS
ENERGY_OTHER,Sprinkler System charge
ENERGY_OTHER,MA Hg
ENERGY_OTHER,MH Hg
ENERGY_OTHER,UMS Miscellaneous
ENERGY_OTHER,SL Sentry
ENERGY_OTHER,Sprinkler System
ENERGY_OTHER,UMS Flow
ENERGY_OTHER,MB Hg
ENERGY_OTHER,SA Na
ENERGY_OTHER,WL Hg
ENERGY_OTHER,Security Camera
ENERGY_OTHER,WL Na
ENERGY_OTHER,Watchman Lights
ENERGY_OTHER,Energy Charges Adjustments
ENERGY_OTHER,Cable TV
ENERGY_OTHER,Rim Cab
ENERGY_OTHER,NBN FTTN Cabinet
ENERGY_OTHER,Micronode
ENERGY_OTHER,Ice warning lamps
ENERGY_OTHER,Telstra Cabinet
ENERGY_OTHER,Telstra Remote Customer
ENERGY_OTHER,Winter Energy Concession
ENERGY_OTHER,Excess Energy Concession
ENERGY_OTHER,RimCab
ENERGY_OTHER,TelstraCabinet
ENERGY_OTHER,Additional Gas
ENERGY_SERVICE,ACS Major
ENERGY_SERVICE,ACS Minor
ENERGY_SERVICE,fixed charge
ENERGY_SERVICE,Retail Service Fee
ENERGY_SERVICE,EnergyLink Charge
ENERGY_SERVICE,Monthly non-interval
ENERGY_SERVICE,Fixed Monthly Charge
ENERGY_SERVICE,Minimum Payment
ENERGY_SERVICE,Maintenance
ENERGY_SERVICE,Supply charge band
ENERGY_SERVICE,Abolishment of Supply
ENERGY_SERVICE,Inclining Fixed Charge
ENERGY_SERVICE,Unmetered Services
ENERGY_SERVICE,Fixed Transport Charge
DISCOUNTS,Usage Discount
DISCOUNTS,Government Rebate
DISCOUNTS,Early Payment Discount
DISCOUNTS,Queensland Government Rebate
DISCOUNTS,usage discount
DISCOUNTS,supply discount
DISCOUNTS,Qld Govt Electricity Rebate
DISCOUNTS,Qld Govt Asset Owner Dividend
DISCOUNTS,Pay-On-Time Usage Discount
DISCOUNTS,Origin Loyalty Credit
DISCOUNTS,Extra usage charge discount
DISCOUNTS,NSW Gvt Household Rebate
DISCOUNTS,Annual Electricity Concession
DISCOUNTS,Origin Price Relief Credit
DISCOUNTS,Guaranteed Discount
DISCOUNTS,Guaranteed Off Peak Discount
DISCOUNTS,Guaranteed Peak Discount
DISCOUNTS,GreenPower credit
DISCOUNTS,Advantage Peak Discount
DISCOUNTS,Advantage Off Peak Disc
DISCOUNTS,Meter Reading Over Read
DISCOUNTS,Guaranteed discount
DISCOUNTS,Rebate
DISCOUNTS,Discount on Take or Pay eff
DISCOUNTS,Account Credit
DISCOUNTS,Discount on Usage
DISCOUNTS,Multi Premise Discount
DISCOUNTS,Discount
OTHER_CHARGES,Meter Charge Adj
OTHER_CHARGES,Carbon Repeal Adjustment
OTHER_CHARGES,Exit Fee
OTHER_CHARGES,Meter Alteration Fee
OTHER_CHARGES,Removal of supply
OTHER_CHARGES,Qld Govt Asset Ownership
OTHER_CHARGES,Adjustment of meter services charges
OTHER_CHARGES,Charge for Meter Relocation
OTHER_CHARGES,Underground Service Upgrade
OTHER_CHARGES,SP2MP OH Upgrade BH Urb
OTHER_CHARGES,Royal Flying Doctor Service Donations
OTHER_CHARGES,Donation Reversal Adjustment
OTHER_CHARGES,Balance of Account Refunded
OTHER_CHARGES,Transferred from Finalised Account
OTHER_CHARGES,Reversal of Cancelled Bill
OTHER_CHARGES,Connection of Temporary Supply
OTHER_CHARGES,Upfront Meter Charges
OTHER_CHARGES,Credit Refunded - Cheque
OTHER_CHARGES,QLD AUS Small Business
OTHER_CHARGES,Ergon Clean Energy
OTHER_CHARGES,Billed volume adj
OTHER_CHARGES,Meter amp; VAS Charge
OTHER_CHARGES,Credit Claimed
OTHER_CHARGES,Metering Charge Adjustment eff
OTHER_CHARGES,SO charge for Allocate
OTHER_CHARGES,Network Charge Adj
OTHER_CHARGES,Frequent Unplanned
OTHER_CHARGES,SO charge for metering Site Establishment
OTHER_CHARGES,Consumption adj
OTHER_CHARGES,Network Charges eff
OTHER_CHARGES,Frequent Momentary
OTHER_CHARGES,SO charge for Site Alteration
OTHER_CHARGES,"APPLIED ENERGY, NETWORK AND OTHER CHARGES ADJ EFF"
OTHER_CHARGES,Network Demand Adjustment
OTHER_CHARGES,Interest on Late Payment
OTHER_CHARGES,NETW ADJ
OTHER_CHARGES,Credit Card Merchant Fee
OTHER_CHARGES,AEEI Adjustment
OTHER_CHARGES,Reversal of Interest on Late Payment
OTHER_CHARGES,Late Payment Interest Reversal
DEMANDS,DUOS Excess Demand
DEMANDS,TUOS Excess Demand
DEMANDS,Chargeable Demand
DEMANDS,Excess Demand
DEMANDS,Additional Demand
DEMANDS,Annual Block 1 Demand Rate
DEMANDS,Annual Block 2 Demand Rate
DEMANDS,Annual Block 3 Demand Rate
DEMANDS,Annual Block 4 Demand Rate
DEMANDS,Off Peak Demand Charge
DEMANDS,Network Demand Charge
DEMANDS,DUOS Excess kVAr Charge
ENERGY_OTHER,Overrun Charge
DEMANDS,Demand Variable
DEMANDS,Summer Demand
DEMANDS,Actual Demand
DEMANDS,Other Demand
DEMANDS,Winter Demand
DEMANDS,Network Low Season Demand
DEMANDS,Network High Season Demand
DEMANDS,Anytime Demand
DEMANDS,Winter Demand Charge
DEMANDS,Contract Demand Charge
DEMANDS,Actual Demand Charge
DEMANDS,Critical Peak Demand
DEMANDS,Excess kVAR Charges
DEMANDS,Monthly Demand
DEMANDS,Maximum Demand
DEMANDS,Rolling Demand
DEMANDS,Dec-Mar Demand
DEMANDS,Peak Annual Demand
DEMANDS,Anytime Actual Demand
DEMANDS,DUoS Demand
DEMANDS,TUoS Demand
DEMANDS,High season Demand
DEMANDS,Demand High Season
DEMANDS,Demand Low Season
NETWORK_OTHER,Small Business Tariff Class
NETWORK_OTHER,Summer Generation
NETWORK_OTHER,Fuse Removal
NETWORK_OTHER,Reconnection/Special Meter Read Site
NETWORK_OTHER,Srv Truck Visit - BH
NETWORK_OTHER,Wasted Truck Visit
NETWORK_OTHER,PV Installation - BH
NETWORK_OTHER,Supp abol CT Metered Sites
NETWORK_OTHER,De-energisation during business hours
NETWORK_OTHER,Embedded Generation
NETWORK_OTHER,Custmr supply enhncmnt BH-MP CT
NETWORK_OTHER,Street Lighting Supply Charge
NETWORK_OTHER,Discon for non payment (BH only)
NETWORK_OTHER,Miscellaneous Charges
NETWORK_OTHER,Reconnect - Complete
NETWORK_OTHER,Supply enhancement - Isolated
NETWORK_OTHER,Vacant Property Site Visit
NETWORK_OTHER,Remote Re-Energisation
NETWORK_OTHER,Recons (incl Cust Tfr)
NETWORK_OTHER,Remote Re-energisation
NETWORK_OTHER,Re-energisation during business hours
NETWORK_OTHER,Site Establishment Fee
NETWORK_OTHER,Renewable Energy Charge
NETWORK_OTHER,Fuse Insertion - business hours
NETWORK_OTHER,Site Establishment per NMI
NETWORK_OTHER,3 PH 800 CT Mtr T Type
NETWORK_OTHER,Supply enhancement - BUS HRS
NETWORK_OTHER,Reconnection - Fuse Insertion
NETWORK_OTHER,Call out fee - BUS HRS - 1 crew Urban
NETWORK_OTHER,Permanent Removal of LV Supply
NETWORK_OTHER,Metering alteration - BUS HRS - NO CT
NETWORK_OTHER,Re-arrange connection assets
NETWORK_OTHER,PV Rebate below
NETWORK_OTHER,Multi phase CT
NETWORK_OTHER,CT Mtr S Type
NETWORK_OTHER,New Connection
NETWORK_OTHER,Multi-phase CT
NETWORK_OTHER,Re-energisation-Recipient Discretion
NETWORK_OTHER,Disconnect at Pillar-Box
NETWORK_OTHER,Service Disconnection Request
NETWORK_OTHER,Special Reference Read
NETWORK_OTHER,No access (gas meter)
NETWORK_OTHER,Common Services Charge
NETWORK_OTHER,General Services Charge
NETWORK_OTHER,Re-inspection for compliance
NETWORK_OTHER,Request for Temporary Connection
NETWORK_OTHER,Fld Visit: Visit by a Field Officer
NETWORK_OTHER,De-En Pillar-Box Pit Or Pole-Top
NETWORK_OTHER,Call out fee - BUS HRS - 2 crews
NETWORK_OTHER,Jurisdictional Scheme Volume
NETWORK_OTHER,ACS MSC Capital Only
NETWORK_OTHER,Jurisdictional Scheme Fixed
NETWORK_OTHER,ACS Metering Non-Cap Charge
NETWORK_OTHER,Network Charges Adjustment
NETWORK_OTHER,Jurisdictional Scheme Volume Charge
NETWORK_OTHER,User Specific Charge
NETWORK_OTHER,Distribution System Charge
MARKET,AEMO Pool Fees
MARKET,AEMO Ancillary Charge
MARKET,VENCorp FRC Charges
MARKET,AEMO Charge - Energy Direction Compensation
MARKET,FRC amp; Participant Charge Fixed
MARKET,AEMO Charge
MARKET,Market Charges Adjustments
MARKET,AEMO Participant Charge
MARKET,AEMO FRC Charges
MARKET,AEMO FRC Operations
MARKET,AEMO Additional Ancillary Service
MARKET,AEMO RERT Charge
MARKET,AEMO Commodity Charge
MARKET,AEMO FRC Charge
MARKET,AEMO Meter Data Management
MARKET,FRC Charge
MARKET,AEMO
MARKET,Market Fee
MARKET,IRCR
MARKET,AEMO RERT Usage Costs
MARKET,Market Participant Charge
MARKET,Ancillary Services Charge
MARKET,AEMO Charge - Energy Direction Compensation Recovery
METERING,Metrer Charge
METERING,Metering Capital Charge
METERING,Metering Non Capital Charge
METERING,Monthly Meter Read Fee
METERING,CL33 Capital Metering Charge
METERING,CL33 NCapital Metering Charge
METERING,Solar metering Service Charge
METERING,Charge for meter
METERING,Meter Reading Fee
METERING,Metering data Services
METERING,Interval Metering Charge
METERING,Fixed Metering Charge
METERING,Meter Fee
METERING,Failed Special Read Fee
METERING,Capital Meter Component
METERING,Yurika Fee- Regional NMI Surcharge
METERING,Yurika Fee- Afterhours Meter Installation Fee
METERING,Remote Meter Reconfiguration
METERING,Network Disconnection Fee
METERING,Yurika Fee- Antenna Upgrade to Whip
METERING,Yurika Fee- MDP Installation
METERING,Yurika Fee- Additions and Alterations
METERING,Yurika Fee- Additions and Alterations to
METERING,Network S/O fee for
METERING,Yurika Fee- Rural
METERING,Meter reconfiguration fee
METERING,Meter Reconfiguration for Solar Service
METERING,Service Vehicle Visit
METERING,Citipower Complex Alteration
METERING,Trouble Order Fee by Network
METERING,Solar Meter Configuration
METERING,Solar Meter Reconfiguration
METERING,Solar metering
METERING,Solar Capital Metering
METERING,Solar NCapital Metering
METERING,NCapital Metering
METERING,Capital Metering Charge
METERING,Capital Metering
CERTIFICATES,LRET
CERTIFICATES,SRES
CERTIFICATES,ESS
CERTIFICATES,Renewable Energy Charge - PDRS
CERTIFICATES,EREP Exemption
CERTIFICATES,VEEC Adj
CERTIFICATES,REPS Exemption
CERTIFICATES,ACT Energy
CERTIFICATES,ESC
CERTIFICATES,GEC
CERTIFICATES,LREC
CERTIFICATES,REC
CERTIFICATES,SREC
CERTIFICATES,VEEC
